id,title,release_date,genres,vote_average,overview
1087891,Amateur,2025-04-09,"Suspense, Acción",6.954,"Charlie Heller es un brillante pero introvertido decodificador de la CIA que trabaja en una oficina en el sótano de la sede de Langley. Su vida cambia radicalmente cuando su esposa muere en un ataque terrorista en Londres. Cuando sus supervisores se niegan a tomar cartas en el asunto, él mismo toma las riendas y se embarca en un peligroso viaje por todo el mundo para localizar a los responsables. Su inteligencia puede ser el arma definitiva para llevar a cabo su venganza."
933844,A,1986-01-01,,5.3,
1552819,Tiempo de asesinos,2025-09-26,Acción,5.1,"Shanghái, 1932. Durante un banquete del ejército japonés, el líder de la resistencia china Mubai realiza una incursión exitosa y conoce al mecenas Sr. Hu, quien lo recluta para asesinar al estratega japonés Kurokawa. Mubai y su equipo enfrentan emboscadas y traiciones en una misión que cambiará sus vidas."
895800,A,2021-07-15,Drama,4.938,
1320444,a,,,0.0,
495764,Aves de presa (y la fantabulosa emancipación de Harley Quinn),2020-02-05,"Acción, Crimen",6.881,"Después de separarse del Joker, Harley Quinn y otras tres heroínas (Canario Negro, Cazadora y Renée Montoya) unen sus fuerzas para salvar a una niña del malvado rey del crimen, Máscara Negra."
877294,a,2019-05-01,,6.5,
1274934,a,2024-04-15,,6.0,
741876,A,,,5.9,
1598783,A,,"Comedia, Terror",0.0,
1373329,A,2024-10-24,,0.0,
1564506,a,,,0.0,
23483,Kick-Ass: Listo para machacar,2010-03-26,"Acción, Crimen",7.123,"Dave Lizewski es un estudiante de instituto que pasa desapercibido por todos, aficionado a los cómics, de donde saca un día la idea de convertirse en un superhéroe, aunque no tenga superpoderes, no haya seguido un duro entrenamiento y ni siquiera tenga una razón significativa para ello. Pero la vida de Dave cambiará para siempre cuando se encuentre con un par de locos vigilantes -la terremoto de 11 años Hit Girl y su padre, Big Daddy- y forje amistad con otro joven luchador contra el crimen, Red Mist. Y cuando todos se tengan que enfrentar al jefe de la mafia local, Frank D'Amico, sus alianzas y sus verdaderas habilidades serán puestas a prueba."
259316,Animales fantásticos y dónde encontrarlos,2016-11-16,"Fantasía, Aventura",7.308,"Las aventuras del escritor Newt Scamander en la comunidad secreta de brujas y magos de Nueva York setenta años antes de lo acontecido en ""Harry Potter y la Piedra Filosofal""."
111224,Ghost in the Shell: Stand Alone Complex 2nd GiG - Individual Eleven,2006-01-27,"Animación, Ciencia ficción",7.5,"Película recopilatoria lanzada directamente a DVD, que recupera toda la subtrama ""Individual Eleven"" de la segunda temporada de la serie Ghost in the Shell: Stand Alone Complex, ""Ghost in the Shell: SAC 2nd Gig""."
1592426,A,1969-01-01,,0.0,
836009,Perdidos en el Ártico,2022-02-10,"Drama, Aventura, Historia",6.785,"Basada en hechos reales. 1909. La expedición danesa Alabama, liderada por el Capitán Ejnar Mikkelsen (Coster-Waldau) emprende una misión para demostrar que Groenlandia no está dividida en dos trozos de tierra y refutar el reclamo de Estados Unidos sobre el territorio. Dejando atrás a su tripulación, le acompañará en el viaje, que llegarán a realizar incluso a pie por el hielo, el inexperto Iver Iversen (Joe Cole)."
566525,Shang-Chi y la leyenda de los Diez Anillos,2021-09-01,"Acción, Aventura, Fantasía",7.495,"Adaptación cinematográfica del héroe creado por Steve Englehart y Jim Starlin en 1973, un personaje mitad chino, mitad americano, cuyo característico estilo de combate mezclaba kung-fu, nunchacos y armas de fuego."
682012,Little Amelie,2025-06-25,"Animación, Drama, Familia",8.0,"El mundo es un misterio confuso y pacífico para Amélie hasta que un encuentro milagroso con el chocolate enciende su salvaje curiosidad. A medida que desarrolla un profundo apego a la ama de llaves de su familia, Nishio-san, Amélie descubre las maravillas de la naturaleza, así como las verdades emocionales ocultas bajo la superficie de la vida idílica de su familia como extranjeros en un Japón de la post-guerra."
1228841,Objet a,,Drama,0.0,
8355,Ice Age 3: El origen de los dinosaurios,2009-06-26,"Animación, Comedia, Familia, Aventura",6.763,"Tercera parte de las aventuras de Diego, Scrat y compañía. En esta ocasión, les tocará lidiar con varios dinosaurios. Scrat sigue intentando apoderarse de la muy escurridiza bellota; Manny y Ellie esperan el nacimiento de su mini-mamut; Sid, el perezoso, se mete en un buen lío al formar de repente una familia propia tras encontrarse unos huevos de dinosaurio."
8273,American Pie ¡Menuda boda!,2003-08-01,"Comedia, Romance",6.218,"Jim (Jason Biggs) le pide matrimonio a su novia Michelle (Alyson Hannigan) después de un incidente vergonzoso en un restaurante. Ella acepta, pero los problemas no terminan ahí para Jim. Ahora tiene que planear la boda con la ayuda de sus amigos Kevin y Finch, y evitar que Stifler, su grosero compañero de escuela, arruine la fiesta. Jim también se preocupa por caerle bien a los padres de Michelle y por aprender a bailar antes del gran día. Entre bromas pesadas, situaciones cómicas y momentos emotivos, Jim y Michelle intentan llegar al altar sanos y salvos."
490082,Jane Fonda en cinco actos,2018-01-21,Documental,7.2,"Una mirada a la vida, el trabajo, el activismo y las controversias como actriz de Jane Fonda a través de cinco actos divididos en su padre, Henry Fonda, sus tres maridos (Roger Vadim, Tom Hayden y Ted Turner) y, finamente, ella misma."
12116,El amor después del mediodía,1972-09-01,"Drama, Romance",7.279,"Frederic está felizmente casado y espera su segundo hijo. Da paseos por París y cultiva su imagen de seductor tranquilo. Un día entra en su despacho Chloé, la antigua novia de un amigo suyo que destaca por sus costumbres nada timoratas. Chloé entra y sale continuamente de la oficina y de la vida de Frederic hasta incitar su curiosidad. Frederic encuentra un trabajo para ella y eso es una excusa para visitarla a menudo. Ella decide seducirle causándole a él un dilema moral..."
